i	dns	tcp	tls	ttfb	total	code
1	0.002066	0.211878	0.426008	0.645306	0.645470	302
2	0.004630	0.222071	0.449956	0.674103	0.674334	302
3	0.002897	0.217597	0.434746	0.651231	0.651315	302
4	0.002402	0.222043	0.449615	0.672798	0.672859	302
5	0.002708	0.218313	0.437074	0.656887	0.656999	302
6	0.001953	0.224018	0.452663	0.679240	0.679334	302
7	0.002461	0.219352	0.435084	0.654533	0.654588	302
8	0.002145	0.215644	0.431514	0.648799	0.648882	302
9	0.002924	0.216022	0.432953	0.651947	0.652111	302
10	0.002069	0.216988	0.438599	0.657224	0.657465	302
11	0.002662	0.213008	0.429829	0.643884	0.644104	302
12	0.002331	0.225004	0.454147	0.682395	0.682582	302
13	0.002438	0.215401	0.435892	0.650529	0.650730	302
14	0.002729	0.215860	0.436745	0.655177	0.655399	302
15	0.004602	0.218354	0.438265	0.656108	0.656217	302
16	0.002115	0.216266	0.434906	0.649456	0.649587	302
17	0.003457	0.212761	0.428799	0.642694	0.642877	302
18	0.003170	0.225259	0.454563	0.679259	0.679377	302
19	0.003252	0.219313	0.440998	0.655839	0.656016	302
20	0.003365	0.220586	0.442769	0.661980	0.662157	302
21	0.003232	0.216561	0.435532	0.655159	0.655257	302
22	0.003553	0.213668	0.430994	0.645258	0.645378	302
23	0.002355	0.211938	0.429027	0.643893	0.644097	302
24	0.002610	0.217121	0.433655	0.651848	0.652126	302
25	0.002133	0.227581	0.448601	0.666052	0.666162	302
26	0.002878	0.208323	0.417985	0.628591	0.628774	302
27	0.003424	0.222856	0.451022	0.674084	0.674213	302
28	0.002809	0.216583	0.438262	0.655204	0.655363	302
29	0.002949	0.213784	0.432675	0.644354	0.644496	302
30	0.002560	0.222407	0.455195	0.678493	0.678628	302
31	0.002721	0.220883	0.441434	0.657788	0.657910	302
32	0.002957	0.223617	0.455001	0.676104	0.676255	302
33	0.003491	0.216262	0.433406	0.654973	0.655116	302
34	0.002435	0.205677	0.413860	0.621148	0.621318	302
35	0.002282	0.227731	0.456111	0.686560	0.686746	302
36	0.003587	0.227576	0.456382	0.683666	0.683961	302
37	0.002581	0.215662	0.436590	0.664528	0.664780	302
38	0.004222	0.215777	0.437140	0.653342	0.653445	302
39	0.002642	0.218761	0.437795	0.653764	0.653935	302
40	0.003098	0.224796	0.452155	0.680275	0.680380	302
41	0.002589	0.214805	0.434819	0.657437	0.657610	302
42	0.003507	0.223625	0.448598	0.676233	0.676394	302
43	0.002518	0.212233	0.432688	0.645067	0.645324	302
44	0.003251	0.218667	0.437218	0.656574	0.656725	302
45	0.002958	0.201507	0.412132	0.614669	0.614811	302
46	0.003630	0.232792	0.464831	0.697534	0.697656	302
47	0.001477	0.220065	0.447072	0.668218	0.668392	302
48	0.003414	0.227730	0.457813	0.680496	0.680693	302
49	0.003797	0.233574	0.459252	0.683624	0.683867	302
50	0.002621	0.219328	0.484902	0.706436	0.706654	302
