i	tcp	tls	ttfb	total	code	ip	cache
1	0.023885	0.050861	0.271322	0.271754	302	104.21.52.184	DYNAMIC
2	0.027557	0.059252	0.306550	0.306919	302	172.67.202.216	DYNAMIC
3	0.023509	0.052381	0.266891	0.267467	302	172.67.202.216	DYNAMIC
4	0.028477	0.058532	0.281499	0.282156	302	172.67.202.216	DYNAMIC
5	0.029254	0.062307	0.287139	0.287415	302	172.67.202.216	DYNAMIC
6	0.032296	0.071351	0.289283	0.289800	302	172.67.202.216	DYNAMIC
7	0.032014	0.067367	0.292808	0.293206	302	172.67.202.216	DYNAMIC
8	0.032536	0.068368	0.296250	0.296521	302	172.67.202.216	DYNAMIC
9	0.024002	0.052861	0.267988	0.268629	302	172.67.202.216	DYNAMIC
10	0.024222	0.053860	0.276030	0.276405	302	172.67.202.216	DYNAMIC
11	0.029320	0.067409	0.292579	0.292808	302	172.67.202.216	DYNAMIC
12	0.028338	0.060826	0.283385	0.283624	302	172.67.202.216	DYNAMIC
13	0.028924	0.061561	0.278953	0.279293	302	172.67.202.216	DYNAMIC
14	0.025359	0.053029	0.263479	0.266412	302	172.67.202.216	DYNAMIC
15	0.031821	0.067665	0.292892	0.293419	302	172.67.202.216	DYNAMIC
16	0.032639	0.068571	0.289837	0.290403	302	172.67.202.216	DYNAMIC
17	0.033077	0.071056	0.297973	0.298499	302	172.67.202.216	DYNAMIC
18	0.030094	0.068406	0.305096	0.305261	302	172.67.202.216	DYNAMIC
19	0.032096	0.062907	0.284378	0.285925	302	172.67.202.216	DYNAMIC
20	0.030789	0.066665	0.316557	0.316901	302	172.67.202.216	DYNAMIC
21	0.026636	0.064321	0.290007	0.290385	302	172.67.202.216	DYNAMIC
22	0.027981	0.059753	0.277815	0.278140	302	172.67.202.216	DYNAMIC
23	0.039565	0.075358	0.298544	0.298808	302	172.67.202.216	DYNAMIC
24	0.029878	0.064955	0.290203	0.290754	302	172.67.202.216	DYNAMIC
25	0.027561	0.059273	0.287972	0.288499	302	172.67.202.216	DYNAMIC
26	0.033254	0.068499	0.291717	0.291947	302	172.67.202.216	DYNAMIC
27	0.027950	0.059362	0.274202	0.274521	302	172.67.202.216	DYNAMIC
28	0.029936	0.062234	0.290210	0.290723	302	172.67.202.216	DYNAMIC
29	0.097843	0.199534	0.447528	0.447867	302	172.67.202.216	DYNAMIC
30	0.026776	0.058266	0.277817	0.278222	302	172.67.202.216	DYNAMIC
31	0.024257	0.052326	0.270416	0.271039	302	172.67.202.216	DYNAMIC
32	0.030592	0.069641	0.292299	0.292541	302	172.67.202.216	DYNAMIC
33	0.031104	0.066541	0.290136	0.290839	302	172.67.202.216	DYNAMIC
34	0.033427	0.070508	0.297064	0.297624	302	172.67.202.216	DYNAMIC
35	0.033757	0.201104	0.445284	0.445848	302	172.67.202.216	DYNAMIC
36	0.024553	0.052659	0.266799	0.267056	302	172.67.202.216	DYNAMIC
37	0.030269	0.066041	0.287730	0.288324	302	172.67.202.216	DYNAMIC
38	0.032770	0.066493	0.282027	0.282816	302	172.67.202.216	DYNAMIC
39	0.031686	0.066907	0.281724	0.282182	302	172.67.202.216	DYNAMIC
40	0.025689	0.056856	0.271541	0.272316	302	172.67.202.216	DYNAMIC
41	0.025693	0.055559	0.265345	0.265912	302	172.67.202.216	DYNAMIC
42	0.024813	0.055074	0.270886	0.271437	302	172.67.202.216	DYNAMIC
43	0.027884	0.058015	0.281406	0.281994	302	172.67.202.216	DYNAMIC
44	0.029334	0.062316	0.281576	0.282087	302	172.67.202.216	DYNAMIC
45	0.027975	0.064607	0.287509	0.288210	302	172.67.202.216	DYNAMIC
46	0.027403	0.057513	0.278493	0.279081	302	172.67.202.216	DYNAMIC
47	0.024788	0.053115	0.272975	0.273317	302	172.67.202.216	DYNAMIC
48	0.023953	0.056649	0.280042	0.280404	302	172.67.202.216	DYNAMIC
49	0.023975	0.053928	0.264318	0.264533	302	172.67.202.216	DYNAMIC
50	0.027039	0.059655	0.283992	0.284332	302	172.67.202.216	DYNAMIC
